PERMNO,date,vwretd
10107,1991-02-20,-0.010218
10107,1991-02-21,-0.000246
10107,1991-02-22,0.002227
10107,1991-02-25,0.004392
10107,1991-02-26,-0.010480
10107,1991-02-27,0.011476
10107,1991-02-28,0.000805
10107,1991-03-01,0.008371
10107,1991-03-04,0.000792
10107,1991-03-05,0.018720
10107,1991-03-06,-0.000997
10107,1991-03-07,0.000183
10107,1991-03-08,-0.001836
10107,1991-03-11,-0.005634
10107,1991-03-12,-0.008146
10107,1991-03-13,0.010826
10107,1991-03-14,-0.001446
10107,1991-03-15,-0.002086
10107,1991-03-18,-0.002448
10107,1991-03-19,-0.012276
10107,1991-03-20,0.003676
10107,1991-03-21,-0.002437
10107,1991-03-22,0.001576
10107,1991-03-25,0.006500
10107,1991-03-26,0.016058
10107,1991-03-27,0.000049
10107,1991-03-28,-0.000331
10107,1991-04-01,-0.007887
10107,1991-04-02,0.019315
10107,1991-04-03,0.001303
10107,1991-04-04,0.003189
10107,1991-04-05,-0.008957
10107,1991-04-08,0.005881
10107,1991-04-09,-0.010069
10107,1991-04-10,-0.001837
10107,1991-04-11,0.011522
10107,1991-04-12,0.006035
10107,1991-04-15,0.001968
10107,1991-04-16,0.014233
10107,1991-04-17,0.007752
10107,1991-04-18,-0.004857
10107,1991-04-19,-0.009834
10107,1991-04-22,-0.009336
10107,1991-04-23,0.001777
10107,1991-04-24,0.002895
10107,1991-04-25,-0.007303
10107,1991-04-26,-0.001376
10107,1991-04-29,-0.012574
10107,1991-04-30,0.002211
10107,1991-05-01,0.011984
10107,1991-05-02,0.001922
10107,1991-05-03,0.000813
10107,1991-05-06,-0.001580
10107,1991-05-07,-0.005006
10107,1991-05-08,0.002347
10107,1991-05-09,0.011488
10107,1991-05-10,-0.015675
10107,1991-05-13,0.001862
10107,1991-05-14,-0.011850
10107,1991-05-15,-0.009834
10107,1991-05-16,0.009211
10107,1991-05-17,-0.000181
10107,1991-05-20,-0.000067
10107,1991-05-21,0.007450
10107,1991-05-22,0.002428
10107,1991-05-23,-0.001313
10107,1991-05-24,0.006375
10107,1991-05-28,0.010607
10107,1991-05-29,0.002654
10107,1991-05-30,0.010109
10107,1991-05-31,0.007133
10107,1991-06-03,-0.002471
